GameInfo { id: 1, red: 44, blue: 35, green: 19 }
GameInfo { id: 2, red: 8, blue: 17, green: 8 }
GameInfo { id: 3, red: 1, blue: 31, green: 12 }
GameInfo { id: 4, red: 46, blue: 30, green: 25 }
GameInfo { id: 5, red: 4, blue: 26, green: 19 }
GameInfo { id: 6, red: 9, blue: 48, green: 9 }
GameInfo { id: 7, red: 25, blue: 8, green: 5 }
GameInfo { id: 8, red: 26, blue: 19, green: 48 }
GameInfo { id: 9, red: 10, blue: 14, green: 8 }
GameInfo { id: 10, red: 24, blue: 3, green: 22 }
GameInfo { id: 11, red: 2, blue: 38, green: 45 }
GameInfo { id: 12, red: 23, blue: 14, green: 10 }
GameInfo { id: 13, red: 10, blue: 54, green: 25 }
GameInfo { id: 14, red: 5, blue: 18, green: 83 }
GameInfo { id: 15, red: 13, blue: 16, green: 5 }
GameInfo { id: 16, red: 30, blue: 20, green: 29 }
GameInfo { id: 17, red: 37, blue: 30, green: 31 }
GameInfo { id: 18, red: 30, blue: 47, green: 43 }
GameInfo { id: 19, red: 54, blue: 57, green: 46 }
GameInfo { id: 20, red: 6, blue: 28, green: 40 }
GameInfo { id: 21, red: 24, blue: 53, green: 35 }
GameInfo { id: 22, red: 21, blue: 3, green: 31 }
GameInfo { id: 23, red: 30, blue: 41, green: 17 }
GameInfo { id: 24, red: 38, blue: 21, green: 33 }
GameInfo { id: 25, red: 4, blue: 6, green: 29 }
GameInfo { id: 26, red: 1, blue: 35, green: 48 }
GameInfo { id: 27, red: 9, blue: 5, green: 15 }
GameInfo { id: 28, red: 18, blue: 29, green: 15 }
GameInfo { id: 29, red: 24, blue: 44, green: 15 }
GameInfo { id: 30, red: 8, blue: 12, green: 46 }
GameInfo { id: 31, red: 2, blue: 24, green: 38 }
GameInfo { id: 32, red: 44, blue: 29, green: 63 }
GameInfo { id: 33, red: 63, blue: 59, green: 24 }
GameInfo { id: 34, red: 14, blue: 41, green: 41 }
GameInfo { id: 35, red: 8, blue: 30, green: 19 }
GameInfo { id: 36, red: 17, blue: 23, green: 8 }
GameInfo { id: 37, red: 14, blue: 16, green: 2 }
GameInfo { id: 38, red: 54, blue: 12, green: 20 }
GameInfo { id: 39, red: 8, blue: 3, green: 5 }
GameInfo { id: 40, red: 10, blue: 32, green: 23 }
GameInfo { id: 41, red: 17, blue: 66, green: 84 }
GameInfo { id: 42, red: 3, blue: 18, green: 7 }
GameInfo { id: 43, red: 45, blue: 11, green: 18 }
GameInfo { id: 44, red: 8, blue: 25, green: 14 }
GameInfo { id: 45, red: 18, blue: 33, green: 27 }
GameInfo { id: 46, red: 35, blue: 5, green: 10 }
GameInfo { id: 47, red: 4, blue: 2, green: 6 }
GameInfo { id: 48, red: 5, blue: 26, green: 1 }
GameInfo { id: 49, red: 20, blue: 25, green: 39 }
GameInfo { id: 50, red: 24, blue: 42, green: 35 }
GameInfo { id: 51, red: 22, blue: 49, green: 19 }
GameInfo { id: 52, red: 5, blue: 20, green: 7 }
GameInfo { id: 53, red: 31, blue: 18, green: 35 }
GameInfo { id: 54, red: 83, blue: 30, green: 43 }
GameInfo { id: 55, red: 9, blue: 8, green: 4 }
GameInfo { id: 56, red: 19, blue: 10, green: 5 }
GameInfo { id: 57, red: 30, blue: 2, green: 16 }
GameInfo { id: 58, red: 29, blue: 27, green: 39 }
GameInfo { id: 59, red: 22, blue: 20, green: 3 }
GameInfo { id: 60, red: 19, blue: 13, green: 56 }
GameInfo { id: 61, red: 38, blue: 28, green: 5 }
GameInfo { id: 62, red: 26, blue: 48, green: 20 }
GameInfo { id: 63, red: 20, blue: 5, green: 40 }
GameInfo { id: 64, red: 25, blue: 30, green: 29 }
GameInfo { id: 65, red: 7, blue: 43, green: 28 }
GameInfo { id: 66, red: 64, blue: 17, green: 41 }
GameInfo { id: 67, red: 7, blue: 20, green: 11 }
GameInfo { id: 68, red: 19, blue: 4, green: 7 }
GameInfo { id: 69, red: 42, blue: 8, green: 6 }
GameInfo { id: 70, red: 16, blue: 3, green: 2 }
GameInfo { id: 71, red: 44, blue: 31, green: 19 }
GameInfo { id: 72, red: 4, blue: 23, green: 7 }
GameInfo { id: 73, red: 23, blue: 14, green: 18 }
GameInfo { id: 74, red: 5, blue: 10, green: 11 }
GameInfo { id: 75, red: 35, blue: 42, green: 5 }
GameInfo { id: 76, red: 11, blue: 7, green: 24 }
GameInfo { id: 77, red: 47, blue: 14, green: 56 }
GameInfo { id: 78, red: 20, blue: 19, green: 37 }
GameInfo { id: 79, red: 34, blue: 14, green: 41 }
GameInfo { id: 80, red: 12, blue: 29, green: 27 }
GameInfo { id: 81, red: 24, blue: 40, green: 29 }
GameInfo { id: 82, red: 8, blue: 7, green: 15 }
GameInfo { id: 83, red: 20, blue: 17, green: 18 }
GameInfo { id: 84, red: 8, blue: 43, green: 38 }
GameInfo { id: 85, red: 48, blue: 38, green: 28 }
GameInfo { id: 86, red: 14, blue: 24, green: 22 }
GameInfo { id: 87, red: 8, blue: 10, green: 21 }
GameInfo { id: 88, red: 17, blue: 43, green: 30 }
GameInfo { id: 89, red: 26, blue: 20, green: 5 }
GameInfo { id: 90, red: 42, blue: 24, green: 8 }
GameInfo { id: 91, red: 52, blue: 61, green: 40 }
GameInfo { id: 92, red: 41, blue: 61, green: 22 }
GameInfo { id: 93, red: 17, blue: 9, green: 35 }
GameInfo { id: 94, red: 14, blue: 63, green: 31 }
GameInfo { id: 95, red: 16, blue: 48, green: 48 }
GameInfo { id: 96, red: 54, blue: 32, green: 28 }
GameInfo { id: 97, red: 2, blue: 14, green: 43 }
GameInfo { id: 98, red: 7, blue: 6, green: 49 }
GameInfo { id: 99, red: 49, blue: 38, green: 19 }
GameInfo { id: 100, red: 6, blue: 33, green: 3 }
Result: 224
