DEBUG: part no. 440, x 0, y 10
DEBUG: part no. 418, x 0, y 28
DEBUG: part no. 643, x 0, y 33
DEBUG: part no. 438, x 0, y 41
DEBUG: part no. 740, x 0, y 50
DEBUG: part no. 261, x 0, y 54
DEBUG: part no. 727, x 0, y 95
DEBUG: part no. 870, x 0, y 125
DEBUG: part no. 338, x 1, y 17
DEBUG: part no. 34, x 1, y 57
DEBUG: part no. 742, x 1, y 78
DEBUG: part no. 353, x 1, y 113
DEBUG: part no. 26, x 1, y 117
DEBUG: part no. 188, x 1, y 131
DEBUG: part no. 238, x 1, y 137
DEBUG: part no. 369, x 2, y 21
DEBUG: part no. 334, x 2, y 29
DEBUG: part no. 624, x 2, y 39
DEBUG: part no. 749, x 2, y 44
DEBUG: part no. 533, x 2, y 51
DEBUG: part no. 690, x 2, y 62
DEBUG: part no. 894, x 2, y 68
DEBUG: part no. 466, x 2, y 82
DEBUG: part no. 294, x 2, y 105
DEBUG: part no. 1, x 2, y 126
DEBUG: part no. 338, x 3, y 4
DEBUG: part no. 367, x 3, y 11
DEBUG: part no. 565, x 3, y 76
DEBUG: part no. 456, x 3, y 86
DEBUG: part no. 357, x 3, y 90
DEBUG: part no. 873, x 3, y 97
DEBUG: part no. 916, x 3, y 115
DEBUG: part no. 60, x 3, y 119
DEBUG: part no. 402, x 4, y 33
DEBUG: part no. 473, x 4, y 43
DEBUG: part no. 400, x 4, y 49
DEBUG: part no. 415, x 4, y 55
DEBUG: part no. 165, x 4, y 59
DEBUG: part no. 364, x 4, y 66
DEBUG: part no. 410, x 4, y 111
DEBUG: part no. 342, x 5, y 4
DEBUG: part no. 886, x 5, y 11
DEBUG: part no. 122, x 5, y 18
DEBUG: part no. 457, x 5, y 23
DEBUG: part no. 866, x 5, y 28
DEBUG: part no. 438, x 5, y 39
DEBUG: part no. 739, x 5, y 77
DEBUG: part no. 716, x 5, y 83
DEBUG: part no. 131, x 5, y 89
DEBUG: part no. 561, x 5, y 96
DEBUG: part no. 748, x 5, y 101
DEBUG: part no. 206, x 5, y 127
DEBUG: part no. 155, x 5, y 136
DEBUG: part no. 185, x 6, y 44
DEBUG: part no. 78, x 6, y 48
DEBUG: part no. 556, x 6, y 52
DEBUG: part no. 120, x 6, y 63
DEBUG: part no. 856, x 6, y 68
DEBUG: part no. 436, x 6, y 73
DEBUG: part no. 730, x 6, y 111
DEBUG: part no. 307, x 6, y 115
